h;E(h)
6.23792e-16;0.980067
5.45818e-16;0.980067
4.77591e-16;0.980067
4.17892e-16;0.980067
3.65655e-16;0.980067
3.19948e-16;0.980067
2.79955e-16;0.980067
2.4496e-16;0.980067
2.1434e-16;0.980067
1.87548e-16;0.980067
1.64104e-16;0.980067
1.43591e-16;0.980067
1.25642e-16;0.980067
1.09937e-16;0.980067
9.6195e-17;0.980067
8.41706e-17;0.980067
7.36493e-17;0.980067
6.44431e-17;0.980067
5.63877e-17;0.980067
4.93393e-17;0.980067
4.31719e-17;0.980067
3.77754e-17;0.980067
3.30535e-17;0.980067
2.89218e-17;0.980067
2.53066e-17;0.980067
2.21432e-17;0.980067
1.93753e-17;0.980067
1.69534e-17;0.980067
1.48342e-17;0.980067
1.298e-17;0.980067
1.13575e-17;0.980067
9.93778e-18;0.980067
8.69556e-18;0.980067
7.60861e-18;0.980067
6.65754e-18;0.980067
5.82534e-18;0.980067
5.09718e-18;0.980067
4.46003e-18;0.980067
3.90253e-18;0.980067
3.41471e-18;0.980067
2.98787e-18;0.980067
2.61439e-18;0.980067
2.28759e-18;0.980067
2.00164e-18;0.980067
1.75144e-18;0.980067
1.53251e-18;0.980067
1.34094e-18;0.980067
1.17332e-18;0.980067
1.02666e-18;0.980067
8.98327e-19;0.980067
7.86036e-19;0.980067
6.87781e-19;0.980067
6.01809e-19;0.980067
5.26583e-19;0.980067
4.6076e-19;0.980067
4.03165e-19;0.980067
3.52769e-19;0.980067
3.08673e-19;0.980067
2.70089e-19;0.980067
2.36328e-19;0.980067
2.06787e-19;0.980067
1.80938e-19;0.980067
1.58321e-19;0.980067
1.38531e-19;0.980067
1.21215e-19;0.980067
1.06063e-19;0.980067
